Date,Close
10/25/2018,54.87
10/26/2018,54.01
10/29/2018,53.89
10/30/2018,54.43
10/31/2018,53.78
11/1/2018,54.35
11/2/2018,53.94
11/5/2018,54.34
11/6/2018,54.36
11/7/2018,55.08
11/8/2018,54.46
11/9/2018,55.1
11/12/2018,54.54
11/13/2018,55.06
11/14/2018,55.05
11/15/2018,55.25
11/16/2018,55.88
11/19/2018,55.75
11/20/2018,55.29
11/21/2018,55.38
11/23/2018,55.41
11/26/2018,55.07
11/27/2018,55.71
11/28/2018,56.03
11/29/2018,55.79
11/30/2018,55.51
12/3/2018,55.59
12/4/2018,55.55
12/6/2018,55.35
12/7/2018,55.49
12/10/2018,55.27
12/11/2018,55.58
12/12/2018,56.23
12/13/2018,56.39
12/14/2018,55.64
12/17/2018,54.48
12/18/2018,54.36
12/19/2018,54.17
12/20/2018,54.21
12/21/2018,53.64
12/24/2018,52.21
12/26/2018,53.57
12/27/2018,53.74
12/28/2018,53.48
12/31/2018,53.8
1/2/2019,53.48
1/3/2019,53.2
1/4/2019,53.93
1/7/2019,53.56
1/8/2019,53.54
1/9/2019,53.15
1/10/2019,53.37
1/11/2019,53.56
1/14/2019,52.76
1/15/2019,53.31
1/16/2019,52.62
1/17/2019,52.95
1/18/2019,53.3
1/22/2019,53.13
1/23/2019,53.87
1/24/2019,53.17
1/25/2019,53.13
1/28/2019,53.13
1/29/2019,53.81
1/30/2019,53.85
1/31/2019,53.51
2/1/2019,54.02
2/4/2019,54.62
2/5/2019,55.61
2/6/2019,54.94
2/7/2019,55.08
2/8/2019,55.09
2/11/2019,54.73
2/12/2019,55.55
2/13/2019,55.44
2/14/2019,55.11
2/15/2019,55.15
2/19/2019,55.53
2/20/2019,55.8
2/21/2019,56.02
2/22/2019,55.48
2/25/2019,54.96
2/26/2019,55.34
2/27/2019,53.86
2/28/2019,53.98
3/1/2019,53.39
3/4/2019,53.64
3/5/2019,54.1
3/6/2019,54.01
3/7/2019,54.41
3/8/2019,55.02
3/11/2019,54.66
